App,Installs,Rating,Reviews,Price,Size,Genres,Category,Content Rating,Last Updated,Current Ver,Android Ver,Type,Date,Month
PUBG MOBILE HUNDRED RHYTHMS,"100,000,000+",4.2,17350637.0,0.0,Varies with device,Action,GAME_ACTION,Teen,2018-03-19,1.3.0,Varies with device,Free,2018-03-19,3.0
Merge Dragons!,"10,000,000+",4.5,353176.0,0.0,139M,Puzzle,GAME_PUZZLE,Everyone,2017-07-26,5.7.0,4.1 and up,Free,2017-07-26,7.0
Cashman Casino: Casino Slots Machines! 2M Free!,"10,000,000+",4.4,117844.0,0.0,159M,Casino,GAME_CASINO,Teen,2016-11-21,2.37.102,5.0 and up,Free,2016-11-21,11.0
Guns of Glory: The Iron Mask,"50,000,000+",3.9,161865.0,0.0,443M,Strategy,GAME_STRATEGY,Everyone 10+,2017-09-08,6.8.0,5.0 and up,Free,2017-09-08,9.0
Solitaire Grand Harvest - Free Tripeaks Solitaire,"10,000,000+",4.5,249795.0,0.0,158M,Card,GAME_CARD,Everyone,2017-06-27,1.85.0,4.1 and up,Free,2017-06-27,6.0
Huuuge Casino Slots - Best Slot Machines,"10,000,000+",4.3,196064.0,0.0,100M,Casino,GAME_CASINO,Teen,2015-06-19,6.4.3006,4.1 and up,Free,2015-06-19,6.0
Lotsa Slots - Free Vegas Casino Slot Machines,"10,000,000+",4.6,88525.0,0.0,100M,Casino,GAME_CASINO,Teen,2017-10-22,4.01,4.4 and up,Free,2017-10-22,10.0
Mafia City,"50,000,000+",4.1,354409.0,0.0,80M,Strategy,GAME_STRATEGY,Mature 17+,2017-03-30,1.5.529,4.1 and up,Free,2017-03-30,3.0
Vegas Slots - DoubleDown Casino,"10,000,000+",4.3,120385.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2012-04-27,4.9.33,Varies with device,Free,2012-04-27,4.0
Toy Blast,"50,000,000+",4.6,817273.0,0.0,134M,Puzzle,GAME_PUZZLE,Everyone,2014-12-12,8552,4.1 and up,Free,2014-12-12,12.0
Genshin Impact,"10,000,000+",4.5,506561.0,0.0,543M,Adventure,GAME_ADVENTURE,Teen,2020-09-26,1.4.1_2154667_2147343,5.0 and up,Free,2020-09-26,9.0
Klondike Adventures,"10,000,000+",4.5,271744.0,0.0,Varies with device,Simulation,GAME_SIMULATION,Everyone,2018-04-03,2.15,4.4 and up,Free,2018-04-03,4.0
Golf Clash,"10,000,000+",4.3,734236.0,0.0,109M,Sports,GAME_SPORTS,Everyone,2017-01-18,2.39.7,4.4 and up,Free,2017-01-18,1.0
House of Fun: Free Casino Slots &  Casino Games,"10,000,000+",4.5,427881.0,0.0,Varies with device,Casino,GAME_CASINO,Teen,2013-07-03,3.80,4.0.3 and up,Free,2013-07-03,7.0
Rise of Empires: Ice and Fire,"10,000,000+",4.7,466620.0,0.0,Varies with device,Strategy,GAME_STRATEGY,Teen,2018-08-01,1.250.195,4.1 and up,Free,2018-08-01,8.0
Marvel Contest of Champions,"100,000,000+",4.2,1053858.0,0.0,109M,Action,GAME_ACTION,Teen,2014-12-10,30.1.0,6.0 and up,Free,2014-12-10,12.0
Evony: The King's Return,"10,000,000+",4.3,74314.0,0.0,73M,Strategy,GAME_STRATEGY,Teen,2016-08-10,3.87.5,4.1 and up,Free,2016-08-10,8.0
